feature,gain_importance,split_importance
retrieval_fusion_rank,0.8321881022356192,0.10317460317460317
retrieval_from_als,0.09661266003115072,0.023809523809523808
item_unique_buyers,0.030705384098710833,0.20634920634920634
user_unique_items,0.015756014874119758,0.24603174603174602
retrieval_best_rank,0.013697436604280466,0.11904761904761904
retrieval_max_score,0.006329367360240152,0.15079365079365079
retrieval_n_sources,0.0027987396953343497,0.007936507936507936
retrieval_rrf_score,0.0011589274132056983,0.06349206349206349
item_price_std,0.00022714102366207055,0.007936507936507936
item_product_group_idx,0.00021956955431561812,0.031746031746031744
user_idx,0.00009971982821448092,0.007936507936507936
user_age,0.00006337268697312509,0.007936507936507936
item_purchase_velocity_7d,0.00005145973095720315,0.007936507936507936
user_activity_level,0.00004841921104886538,0.007936507936507936
item_popularity_score,0.000043685652167421574,0.007936507936507936
item_idx,0.0,0.0
retrieval_from_popularity,0.0,0.0
retrieval_from_two_tower,0.0,0.0
item_purchase_count_log,0.0,0.0
item_price,0.0,0.0
item_is_long_tail,0.0,0.0
item_purchase_velocity_30d,0.0,0.0
item_days_since_last_purchase,0.0,0.0
item_color_idx,0.0,0.0
item_dept_idx,0.0,0.0
item_section_idx,0.0,0.0
item_index_idx,0.0,0.0
user_total_purchases,0.0,0.0
user_avg_price,0.0,0.0
user_purchase_std,0.0,0.0
user_days_since_last_purchase,0.0,0.0
user_avg_days_between_purchases,0.0,0.0
user_tenure_days,0.0,0.0
user_age_group,0.0,0.0
user_club_status,0.0,0.0
user_news_freq,0.0,0.0
cross_price_affinity,0.0,0.0
cross_recency_affinity,0.0,0.0
